nombre_cuenta;posts;followers;followings;type 
sirenadecristal.ec;662;10452;1016;Manualidades
megamoda.ec;126;6324;2;Moda
estrafalaria.ec;158;20754;1265;Manualidades
mipiccolofiore;117;423;476;Manualidades
bydorague;620;58120;1884;Moda
foxydeco;233;8099;650;Manualidades
louge.ec;769;23510;645;Moda
ltlstore;139;21152;241;Moda
magdas_peculiarshop;145;3676;672;Manualidades
davia_ec;205;3676;88;Moda
claulopezmakeup;659;2721;748;Maquillaje
artinthehands;126;1077;924;Manualidades 
kuyaycosmetics;354;9219;7148;Maquillaje
dragonbites.ec;619;7251;430;Moda
monalisa.ec;1332;7190;98;Maquillaje
crochetstyleec;231;898;718;Manualidades 
casfstyle_ec;499;3784;227;Moda
nunakafee_ec;60;542;281;Moda
dancostore_ec;227;2493;77;Moda
jadeterra.ec;673;10478;581;Manualidades
ceramicalma.ec;91;7174;168;Manualidades
"KittyStorebyAD;800;1,338;3,939;Manualidades"
"Aniakubow;136;50413;1,466;Moda"
